Wavelength (nm)	Shutter speed (au)	Shutter speed (ms)
500	98	1.99
510	74	1.51
520	69	1.41
530	55	1.13
540	51	1.05
550	47	0.97
560	45	0.93
570	45	0.93
580	39	0.81
590	34	0.71
600	32	0.67
610	32	0.67
620	27	0.57
630	24	0.51
640	21	0.45
650	19	0.41
660	17	0.37
670	17	0.37
680	13	0.29
690	12	0.27
700	11	0.25
710	30	0.63
720	27	0.57
730	30	0.63
740	35	0.73
750	38	0.79
760	46	0.95
770	54	1.11
780	74	1.51
790	68	1.39
800	100	2.03
810	147	2.97
820	139	2.91
830	273	5.49
840	720	14.43
850	1478	29.59
