Wavelength (nm)	Shutter speed (au)	Shutter speed (ms)
500	32	0.67
510	24	0.51
520	26	0.55
530	19	0.41
540	20	0.43
550	14	0.31
560	14	0.31
570	13	0.29
580	14	0.31
590	10	0.23
600	11	0.25
610	10	0.23
620	9	0.21
630	9	0.21
640	8	0.19
650	8	0.19
660	6	0.15
670	6	0.15
680	5	0.13
690	4	0.11
700	5	0.13
710	7	0.17
720	6	0.15
730	8	0.19
740	9	0.21
750	9	0.21
760	13	0.29
770	13	0.29
780	23	0.49
790	20	0.43
800	32	0.67
810	47	0.97
820	50	1.03
830	91	1.85
840	289	5.81
850	523	10.49
